0,1
ConversationalAgent,"dict_items([('SPEAKER', 10), ('LEOLANI', 7)])"
python-type:cltl.emotion_extraction.api.Emotion,"dict_items([('GO:neutral', 1), ('GO:caring', 1)])"
python-type:cltl.dialogue_act_classification.api.DialogueAct,"dict_items([('MIDAS:opinion', 1), ('MIDAS:statement', 5), ('MIDAS:complaint', 1)])"
python-type:cltl.object_recognition.api.Object,"['person', 'person', 'person', 'person', 'tie', 'person', 'person', 'tie', 'person', 'tie', 'person', 'tie', 'person', 'person', 'tie', 'vase', 'person', 'bottle', 'person', 'tie', 'person', 'cell phone', 'person', 'cell phone', 'person', 'cell phone', 'cell phone', 'person', 'person', 'cell phone', 'person', 'tie', 'cell phone', 'person', 'person', 'cell phone', 'person', 'person', 'person']"
VectorIdentity,"['a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d', 'a9f5e1b0-1c42-47e7-90a8-0ff4700f246d']"
python-type:cltl.emotion_extraction.api.Emotion,"['engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement', 'engagement']"
