Speaker,Nr. turns,MLM,MLM avg,MLM max,MLM avg max
SPEAKER,67,0.22351590647428696,0.22351590647428696,"[0.06177997216582298, 0.37580692768096924, 0.10834378749132156, 0.32080477476119995, 0.133934885263443, 0.752440020442009, 0.5757342651486397, 0.8979931622743607, 0.5202609188854694, 0.856411024928093, 0.6770837306976318, 0.16705755392710367, 0.6481795072555542, 0.43631380796432495, 0.7493560165166855, 0.5137339472770691, 0.4404908511787653, 0.428883895277977, 0.3626534690459569, 0.46287564436594647, 0.1672292798757553]",0.45987464011543333
LEOLANI,67,0.5342681744201088,0.5342681744201088,"[0.8191447891294956, 0.7522725827164121, 0.5776804327964783, 0.7352667212486267, 0.5590925924479961, 0.7084917537868023, 0.7406863768895467, 0.630436937396343, 0.9158703784147898, 0.7367240905761718, 0.8453148220266614, 0.8351753720870385, 0.87172237267861, 0.6917701905423944, 0.6297313008043501, 0.7624973237514496, 0.7232568873600527, 0.8541953346946023, 0.6876186070342859, 0.7439219355583191, 0.5903915725648403, 0.8830480532986777, 0.5971966028213501, 0.6708439350128174, 0.616611467467414, 0.8123733227451643, 0.6658648597566705, 0.5058490335941315, 0.8829766154289246, 0.824861232529987, 0.7749002029498419, 0.8138735592365265, 0.6462030903651164, 0.7909490913152695, 0.8133531957864761, 0.9385862827301026, 0.6948929812226977, 0.5489728119638231, 0.8790807761251926, 0.8333046734333038, 0.6405874962608019, 0.6265225478193976, 0.997011767493354, 0.90843815356493, 0.7414932524164518, 0.8444734471184867]",0.7470332788470039
